card_id,customer_id,card_type,card_limit,issue_date
CARD_000001,CUST_04404,Debit,1000,2020-12-14
CARD_000002,CUST_03547,Debit,2500,2020-05-03
CARD_000003,CUST_03978,Debit,5000,2021-08-04
CARD_000004,CUST_04318,Prepaid,10000,2021-02-15
CARD_000005,CUST_01197,Credit,2500,2021-07-09
CARD_000006,CUST_03412,Debit,10000,2020-04-18
CARD_000007,CUST_00797,Debit,2500,2022-08-10
CARD_000008,CUST_03893,Credit,25000,2020-01-18
CARD_000009,CUST_00151,Credit,25000,2020-05-16
CARD_000010,CUST_03250,Debit,25000,2022-03-06
CARD_000011,CUST_00112,Prepaid,5000,2021-07-09
CARD_000012,CUST_00683,Debit,25000,2022-01-07
CARD_000013,CUST_01162,Debit,5000,2020-08-08
CARD_000014,CUST_02380,Debit,1000,2020-02-09
CARD_000015,CUST_04989,Credit,25000,2021-08-22
CARD_000016,CUST_00161,Debit,5000,2022-03-02
CARD_000017,CUST_01426,Debit,2500,2021-04-18
CARD_000018,CUST_03662,Debit,5000,2022-02-18
CARD_000019,CUST_00278,Credit,5000,2022-11-07
CARD_000020,CUST_03392,Debit,2500,2020-07-22
CARD_000021,CUST_01557,Debit,5000,2021-10-08
CARD_000022,CUST_04593,Debit,2500,2022-09-19
CARD_000023,CUST_01916,Debit,10000,2022-12-24
CARD_000024,CUST_04751,Credit,25000,2020-06-29
CARD_000025,CUST_03108,Debit,1000,2021-01-16
CARD_000026,CUST_00303,Debit,5000,2021-02-11
CARD_000027,CUST_04534,Credit,2500,2022-10-22
CARD_000028,CUST_02774,Debit,25000,2022-07-26
CARD_000029,CUST_04282,Debit,5000,2020-02-14
CARD_000030,CUST_03246,Debit,25000,2020-03-22
CARD_000031,CUST_04769,Prepaid,10000,2021-05-21
CARD_000032,CUST_01001,Credit,5000,2022-12-20
CARD_000033,CUST_03835,Credit,2500,2021-09-16
CARD_000034,CUST_04007,Credit,10000,2021-11-14
CARD_000035,CUST_04779,Prepaid,5000,2022-09-30
CARD_000036,CUST_01719,Credit,25000,2022-03-16
CARD_000037,CUST_03831,Credit,10000,2020-11-17
CARD_000038,CUST_03182,Debit,2500,2020-02-07
CARD_000039,CUST_02883,Debit,5000,2021-12-11
CARD_000040,CUST_00999,Credit,25000,2021-12-21
CARD_000041,CUST_00285,Prepaid,25000,2021-12-28
CARD_000042,CUST_00421,Debit,10000,2021-09-11
CARD_000043,CUST_02161,Credit,5000,2021-04-28
CARD_000044,CUST_03066,Debit,25000,2022-10-23
CARD_000045,CUST_02276,Debit,10000,2021-07-18
CARD_000046,CUST_01495,Debit,1000,2020-05-06
CARD_000047,CUST_03885,Credit,25000,2021-06-11
CARD_000048,CUST_04624,Debit,10000,2022-03-03
CARD_000049,CUST_02544,Credit,1000,2020-03-01
CARD_000050,CUST_04127,Credit,10000,2021-07-27
CARD_000051,CUST_04258,Credit,25000,2021-04-06
CARD_000052,CUST_01842,Debit,1000,2020-11-06
CARD_000053,CUST_04801,Credit,10000,2021-11-30
CARD_000054,CUST_00722,Debit,5000,2022-03-15
CARD_000055,CUST_01402,Debit,1000,2020-10-08
CARD_000056,CUST_00446,Credit,10000,2020-06-28
CARD_000057,CUST_02792,Debit,5000,2022-02-21
CARD_000058,CUST_04523,Debit,1000,2022-12-02
CARD_000059,CUST_03768,Debit,10000,2021-04-10
CARD_000060,CUST_02552,Credit,25000,2022-05-04
CARD_000061,CUST_01968,Debit,1000,2021-05-07
CARD_000062,CUST_03889,Credit,1000,2020-11-08
CARD_000063,CUST_04817,Credit,5000,2022-05-23
CARD_000064,CUST_02732,Credit,10000,2021-10-01
CARD_000065,CUST_02630,Credit,25000,2021-11-05
CARD_000066,CUST_01965,Debit,5000,2022-07-08
CARD_000067,CUST_01058,Debit,1000,2020-09-26
CARD_000068,CUST_04832,Debit,5000,2021-02-27
CARD_000069,CUST_00758,Debit,5000,2020-10-10
CARD_000070,CUST_01796,Credit,5000,2021-02-18
CARD_000071,CUST_01644,Debit,1000,2020-10-09
CARD_000072,CUST_04850,Debit,2500,2021-09-24
CARD_000073,CUST_00024,Credit,5000,2022-12-08
CARD_000074,CUST_01240,Credit,2500,2020-10-03
CARD_000075,CUST_04151,Credit,25000,2022-05-30
CARD_000076,CUST_03098,Credit,25000,2020-10-24
CARD_000077,CUST_01305,Credit,25000,2020-11-19
CARD_000078,CUST_02543,Credit,10000,2021-10-12
CARD_000079,CUST_03713,Debit,1000,2020-05-18
CARD_000080,CUST_03956,Prepaid,2500,2022-12-27
CARD_000081,CUST_04530,Credit,10000,2020-08-30
CARD_000082,CUST_04304,Debit,2500,2021-01-12
CARD_000083,CUST_04229,Debit,1000,2021-10-12
CARD_000084,CUST_01306,Credit,5000,2020-10-25
CARD_000085,CUST_04465,Prepaid,10000,2020-03-01
CARD_000086,CUST_03175,Debit,1000,2021-10-14
CARD_000087,CUST_03629,Debit,10000,2022-04-27
CARD_000088,CUST_00782,Credit,25000,2022-04-22
CARD_000089,CUST_00567,Prepaid,10000,2021-09-13
CARD_000090,CUST_04623,Debit,5000,2022-06-26
CARD_000091,CUST_04133,Debit,5000,2021-07-14
CARD_000092,CUST_04274,Credit,2500,2020-11-07
CARD_000093,CUST_00639,Debit,10000,2021-01-19
CARD_000094,CUST_03701,Credit,25000,2020-08-06
CARD_000095,CUST_04168,Debit,5000,2020-09-26
CARD_000096,CUST_02400,Debit,2500,2021-01-13
CARD_000097,CUST_02671,Debit,25000,2020-02-23
CARD_000098,CUST_01173,Debit,25000,2021-06-30
CARD_000099,CUST_01721,Debit,25000,2021-04-17
CARD_000100,CUST_00105,Debit,1000,2021-04-20
CARD_000101,CUST_01683,Credit,5000,2021-04-17
CARD_000102,CUST_04317,Debit,1000,2020-02-23
CARD_000103,CUST_01850,Prepaid,1000,2022-01-05
CARD_000104,CUST_00863,Debit,5000,2020-06-11
CARD_000105,CUST_03446,Credit,10000,2022-09-03
CARD_000106,CUST_02566,Debit,2500,2020-10-01
CARD_000107,CUST_00299,Debit,5000,2022-10-25
CARD_000108,CUST_02909,Credit,2500,2022-08-18
CARD_000109,CUST_04138,Credit,10000,2022-02-04
CARD_000110,CUST_00771,Credit,5000,2021-01-11
CARD_000111,CUST_02540,Credit,25000,2022-03-04
CARD_000112,CUST_01463,Credit,5000,2022-10-03
CARD_000113,CUST_03855,Debit,10000,2022-08-28
CARD_000114,CUST_03119,Credit,1000,2020-10-08
CARD_000115,CUST_02133,Credit,5000,2020-12-01
CARD_000116,CUST_01710,Prepaid,25000,2021-01-30
CARD_000117,CUST_00991,Credit,5000,2021-04-08
CARD_000118,CUST_00711,Debit,1000,2020-03-07
CARD_000119,CUST_04305,Debit,5000,2022-04-16
CARD_000120,CUST_00039,Credit,25000,2020-01-31
CARD_000121,CUST_01276,Credit,10000,2021-07-06
CARD_000122,CUST_04858,Credit,25000,2022-04-25
CARD_000123,CUST_01437,Credit,10000,2021-03-31
CARD_000124,CUST_02994,Debit,25000,2021-02-19
CARD_000125,CUST_01470,Debit,2500,2021-02-22
CARD_000126,CUST_02100,Debit,5000,2020-05-15
CARD_000127,CUST_00374,Credit,5000,2020-12-28
CARD_000128,CUST_04252,Credit,1000,2022-06-18
CARD_000129,CUST_04026,Debit,2500,2022-09-30
CARD_000130,CUST_01114,Credit,1000,2021-10-27
CARD_000131,CUST_02727,Debit,5000,2022-07-26
CARD_000132,CUST_02399,Debit,1000,2021-05-20
CARD_000133,CUST_03235,Credit,10000,2022-05-25
CARD_000134,CUST_01266,Debit,2500,2022-04-09
CARD_000135,CUST_03124,Credit,25000,2020-03-26
CARD_000136,CUST_00654,Credit,10000,2022-02-18
CARD_000137,CUST_04159,Credit,25000,2021-10-02
CARD_000138,CUST_00509,Debit,1000,2022-03-18
CARD_000139,CUST_02340,Debit,5000,2022-12-11
CARD_000140,CUST_03163,Credit,10000,2020-03-19
CARD_000141,CUST_01688,Credit,2500,2022-12-02
CARD_000142,CUST_01389,Credit,25000,2020-08-11
CARD_000143,CUST_02198,Debit,10000,2022-07-13
CARD_000144,CUST_03912,Debit,5000,2022-07-24
CARD_000145,CUST_02929,Credit,2500,2020-03-27
CARD_000146,CUST_04800,Credit,2500,2021-05-18
CARD_000147,CUST_00516,Debit,25000,2022-11-28
CARD_000148,CUST_03659,Debit,10000,2022-03-21
CARD_000149,CUST_01834,Credit,10000,2020-03-21
CARD_000150,CUST_00030,Debit,2500,2022-03-04
CARD_000151,CUST_03215,Debit,1000,2022-11-23
CARD_000152,CUST_00326,Debit,2500,2020-04-10
CARD_000153,CUST_03767,Debit,5000,2021-01-23
CARD_000154,CUST_04112,Credit,10000,2021-08-19
CARD_000155,CUST_00111,Debit,25000,2022-06-19
CARD_000156,CUST_00107,Debit,10000,2022-03-26
CARD_000157,CUST_02427,Debit,2500,2021-09-15
CARD_000158,CUST_04379,Debit,5000,2021-08-08
CARD_000159,CUST_04365,Credit,1000,2022-08-02
CARD_000160,CUST_02532,Debit,10000,2020-12-06
CARD_000161,CUST_03145,Credit,2500,2022-05-15
CARD_000162,CUST_04694,Debit,2500,2021-08-25
CARD_000163,CUST_00799,Debit,2500,2020-04-21
CARD_000164,CUST_02438,Debit,5000,2022-11-24
CARD_000165,CUST_02012,Debit,2500,2020-10-18
CARD_000166,CUST_00426,Credit,2500,2022-08-07
CARD_000167,CUST_03045,Debit,2500,2022-07-14
CARD_000168,CUST_03289,Credit,10000,2020-07-04
CARD_000169,CUST_02915,Debit,2500,2022-10-22
CARD_000170,CUST_01240,Debit,5000,2020-08-19
CARD_000171,CUST_03392,Debit,10000,2021-01-03
CARD_000172,CUST_04214,Credit,2500,2020-10-04
CARD_000173,CUST_03998,Debit,1000,2022-03-16
CARD_000174,CUST_03007,Debit,5000,2022-04-26
CARD_000175,CUST_03040,Debit,1000,2021-10-24
CARD_000176,CUST_00599,Debit,5000,2022-07-12
CARD_000177,CUST_02088,Prepaid,1000,2020-02-21
CARD_000178,CUST_01185,Credit,2500,2021-01-01
CARD_000179,CUST_02751,Credit,1000,2022-07-18
CARD_000180,CUST_02585,Credit,1000,2021-02-17
CARD_000181,CUST_04760,Credit,5000,2022-07-20
CARD_000182,CUST_03514,Debit,2500,2020-07-03
CARD_000183,CUST_04746,Credit,5000,2021-05-27
CARD_000184,CUST_04055,Debit,2500,2021-10-25
CARD_000185,CUST_04384,Debit,25000,2020-12-01
CARD_000186,CUST_03937,Credit,10000,2020-09-10
CARD_000187,CUST_01700,Credit,10000,2020-07-05
CARD_000188,CUST_04508,Credit,5000,2020-08-21
CARD_000189,CUST_02576,Credit,2500,2022-07-09
CARD_000190,CUST_00136,Debit,1000,2022-01-13
CARD_000191,CUST_02026,Debit,10000,2020-06-23
CARD_000192,CUST_03536,Debit,5000,2022-12-08
CARD_000193,CUST_04855,Credit,5000,2022-02-25
CARD_000194,CUST_02891,Prepaid,5000,2022-11-13
CARD_000195,CUST_02758,Debit,2500,2020-11-23
CARD_000196,CUST_03774,Debit,5000,2022-02-14
CARD_000197,CUST_00381,Debit,25000,2022-02-18
CARD_000198,CUST_01529,Credit,1000,2020-03-30
CARD_000199,CUST_04902,Credit,5000,2020-12-15
CARD_000200,CUST_04572,Debit,2500,2021-11-17
CARD_000201,CUST_03629,Prepaid,1000,2020-11-03
CARD_000202,CUST_00849,Credit,1000,2020-11-28
CARD_000203,CUST_04993,Debit,10000,2020-10-23
CARD_000204,CUST_04128,Prepaid,5000,2021-01-01
CARD_000205,CUST_01928,Debit,5000,2020-04-15
CARD_000206,CUST_02166,Debit,2500,2022-05-09
CARD_000207,CUST_04287,Debit,25000,2021-09-22
CARD_000208,CUST_02122,Credit,25000,2021-09-25
CARD_000209,CUST_04719,Credit,10000,2022-07-02
CARD_000210,CUST_02919,Debit,25000,2021-08-14
CARD_000211,CUST_04682,Prepaid,2500,2021-01-05
CARD_000212,CUST_00473,Debit,10000,2020-08-28
CARD_000213,CUST_01788,Credit,5000,2020-09-26
CARD_000214,CUST_00114,Credit,25000,2021-02-19
CARD_000215,CUST_01337,Debit,2500,2020-01-08
CARD_000216,CUST_00339,Debit,2500,2021-06-02
CARD_000217,CUST_02286,Credit,5000,2020-01-26
CARD_000218,CUST_01197,Debit,2500,2022-07-28
CARD_000219,CUST_00079,Credit,10000,2022-10-16
CARD_000220,CUST_04560,Credit,10000,2022-10-18
CARD_000221,CUST_02653,Credit,1000,2020-01-12
CARD_000222,CUST_04658,Debit,5000,2022-10-07
CARD_000223,CUST_04381,Debit,2500,2021-05-02
CARD_000224,CUST_04319,Debit,25000,2021-03-20
CARD_000225,CUST_02641,Credit,10000,2022-09-01
CARD_000226,CUST_01257,Debit,5000,2022-07-18
CARD_000227,CUST_00828,Debit,5000,2022-04-19
CARD_000228,CUST_02719,Prepaid,10000,2022-06-23
CARD_000229,CUST_04924,Credit,1000,2020-06-11
CARD_000230,CUST_02811,Debit,5000,2020-01-14
CARD_000231,CUST_03386,Prepaid,2500,2021-05-16
CARD_000232,CUST_01966,Credit,25000,2021-07-23
CARD_000233,CUST_02428,Debit,25000,2021-03-01
CARD_000234,CUST_02842,Debit,10000,2020-04-10
CARD_000235,CUST_00614,Credit,5000,2021-01-13
CARD_000236,CUST_00563,Credit,25000,2020-10-30
CARD_000237,CUST_04827,Debit,5000,2020-04-22
CARD_000238,CUST_04353,Debit,10000,2021-12-15
CARD_000239,CUST_00185,Debit,1000,2020-03-16
CARD_000240,CUST_02193,Credit,25000,2020-10-24
CARD_000241,CUST_04066,Debit,2500,2020-03-07
CARD_000242,CUST_00246,Debit,10000,2021-09-03
CARD_000243,CUST_04087,Credit,1000,2021-11-09
CARD_000244,CUST_02235,Credit,2500,2020-06-28
CARD_000245,CUST_00866,Credit,2500,2020-04-10
CARD_000246,CUST_02088,Debit,25000,2020-08-11
CARD_000247,CUST_00601,Debit,5000,2022-05-03
CARD_000248,CUST_03034,Debit,10000,2020-12-31
CARD_000249,CUST_02057,Prepaid,2500,2020-11-26
CARD_000250,CUST_02132,Credit,25000,2021-08-05
CARD_000251,CUST_00533,Debit,1000,2020-12-29
CARD_000252,CUST_02043,Debit,2500,2022-07-21
CARD_000253,CUST_00358,Credit,1000,2022-01-07
CARD_000254,CUST_00378,Credit,10000,2020-03-14
