customer_id,age,city,join_date,credit_score
CUST_00001,56,Dallas,2020-08-16,364
CUST_00002,69,Phoenix,2020-02-21,632
CUST_00003,46,Austin,2021-07-17,812
CUST_00004,32,Houston,2021-05-16,432
CUST_00005,60,Phoenix,2021-04-02,839
CUST_00006,25,Austin,2020-10-12,834
CUST_00007,38,Phoenix,2020-07-28,795
CUST_00008,56,San Diego,2020-06-27,668
CUST_00009,36,Austin,2022-05-14,398
CUST_00010,40,San Diego,2020-03-06,616
CUST_00011,28,Los Angeles,2020-03-02,422
CUST_00012,28,San Antonio,2020-07-10,619
CUST_00013,41,San Diego,2021-03-23,794
CUST_00014,70,Philadelphia,2021-04-21,756
CUST_00015,53,Phoenix,2022-10-31,821
CUST_00016,57,Dallas,2020-02-24,819
CUST_00017,41,Chicago,2021-02-11,614
CUST_00018,20,Austin,2022-05-09,841
CUST_00019,39,Houston,2021-03-27,778
CUST_00020,70,Dallas,2022-07-08,319
CUST_00021,19,Philadelphia,2021-07-23,429
CUST_00022,41,San Diego,2020-01-14,592
CUST_00023,61,San Antonio,2020-11-22,431
CUST_00024,47,Los Angeles,2022-05-15,655
CUST_00025,55,Chicago,2021-11-27,353
CUST_00026,19,New York,2021-07-23,686
CUST_00027,38,Dallas,2020-11-14,564
CUST_00028,50,San Antonio,2021-03-16,514
CUST_00029,29,New York,2021-11-20,759
CUST_00030,39,Chicago,2020-07-28,757
CUST_00031,61,Houston,2020-07-08,342
CUST_00032,42,Houston,2022-02-17,577
CUST_00033,66,Phoenix,2020-07-17,429
CUST_00034,44,Chicago,2022-01-05,649
CUST_00035,59,Chicago,2021-12-05,843
CUST_00036,45,New York,2021-06-25,405
CUST_00037,33,San Antonio,2020-03-29,300
CUST_00038,32,Austin,2022-07-29,731
CUST_00039,64,New York,2020-09-12,605
CUST_00040,68,Los Angeles,2022-02-14,826
CUST_00041,61,Houston,2020-06-10,352
CUST_00042,72,Houston,2021-08-23,819
CUST_00043,69,Phoenix,2022-01-10,629
CUST_00044,74,Los Angeles,2021-01-28,624
CUST_00045,20,Houston,2020-05-22,413
CUST_00046,54,New York,2020-04-03,446
CUST_00047,68,Los Angeles,2021-04-11,465
CUST_00048,24,New York,2021-08-15,678
CUST_00049,38,Austin,2020-06-12,438
CUST_00050,26,Austin,2021-04-21,598
CUST_00051,56,Houston,2020-07-25,575
CUST_00052,35,Houston,2022-02-17,477
CUST_00053,21,San Antonio,2021-07-23,653
CUST_00054,42,Austin,2022-07-17,453
CUST_00055,31,Dallas,2022-01-17,500
CUST_00056,67,Dallas,2020-11-29,414
CUST_00057,26,Phoenix,2022-01-28,367
CUST_00058,43,Austin,2021-12-28,744
CUST_00059,70,New York,2021-03-05,744
CUST_00060,19,New York,2021-06-30,625
CUST_00061,37,Philadelphia,2020-05-26,658
CUST_00062,45,Los Angeles,2020-12-16,444
CUST_00063,64,San Diego,2022-12-29,574
CUST_00064,24,Dallas,2021-05-16,808
CUST_00065,61,Houston,2020-11-30,478
CUST_00066,25,Phoenix,2022-08-04,776
CUST_00067,64,San Diego,2022-02-16,713
CUST_00068,52,Chicago,2021-07-06,452
CUST_00069,31,Phoenix,2021-03-25,403
CUST_00070,34,Chicago,2021-10-26,374
CUST_00071,53,Austin,2020-04-24,427
CUST_00072,67,Chicago,2021-04-14,644
CUST_00073,57,Chicago,2020-03-06,830
CUST_00074,21,San Antonio,2021-10-08,458
CUST_00075,19,San Antonio,2022-04-01,837
CUST_00076,23,San Antonio,2021-07-02,725
CUST_00077,71,Austin,2020-05-15,322
CUST_00078,59,San Diego,2021-03-08,346
CUST_00079,21,Phoenix,2021-10-06,824
CUST_00080,71,Phoenix,2021-03-11,443
CUST_00081,46,Houston,2022-10-19,718
CUST_00082,35,San Antonio,2022-03-21,384
CUST_00083,43,Austin,2022-07-28,715
CUST_00084,61,Houston,2020-10-19,781
CUST_00085,51,Los Angeles,2021-06-26,755
CUST_00086,27,Houston,2020-10-12,596
CUST_00087,53,San Diego,2021-05-20,411
CUST_00088,31,Dallas,2021-06-22,529
CUST_00089,48,Chicago,2022-05-27,395
CUST_00090,65,San Antonio,2022-03-28,677
CUST_00091,32,Dallas,2022-01-11,455
CUST_00092,25,Houston,2021-03-25,720
CUST_00093,31,Austin,2020-10-10,404
CUST_00094,40,Chicago,2022-11-09,629
CUST_00095,74,Phoenix,2022-10-07,738
CUST_00096,57,New York,2020-07-05,431
CUST_00097,38,Chicago,2020-04-06,681
CUST_00098,33,San Diego,2020-08-12,437
CUST_00099,62,San Diego,2020-11-09,569
CUST_00100,35,Houston,2020-11-23,849
CUST_00101,64,Los Angeles,2022-05-14,695
CUST_00102,70,San Diego,2020-05-10,763
CUST_00103,41,San Diego,2022-02-27,749
CUST_00104,43,Austin,2022-02-20,630
CUST_00105,42,Houston,2022-08-16,552
CUST_00106,62,Chicago,2022-12-19,584
CUST_00107,58,Los Angeles,2021-05-29,573
CUST_00108,46,Dallas,2020-01-24,319
CUST_00109,32,New York,2020-08-22,538
CUST_00110,62,San Antonio,2021-06-30,569
CUST_00111,18,Phoenix,2021-11-27,717
CUST_00112,42,San Diego,2020-08-16,609
CUST_00113,24,Houston,2021-08-24,330
CUST_00114,26,San Antonio,2022-06-09,403
CUST_00115,41,Phoenix,2020-11-19,485
CUST_00116,18,Phoenix,2022-07-18,427
CUST_00117,61,Dallas,2020-01-07,509
CUST_00118,25,Dallas,2021-06-23,713
CUST_00119,41,Dallas,2022-10-22,580
CUST_00120,28,Philadelphia,2020-12-31,552
CUST_00121,68,Philadelphia,2022-11-05,318
CUST_00122,34,Phoenix,2020-08-05,435
CUST_00123,25,Dallas,2021-09-03,522
CUST_00124,52,Austin,2022-11-05,302
CUST_00125,52,San Diego,2021-02-11,535
CUST_00126,50,San Antonio,2020-11-09,764
CUST_00127,22,San Antonio,2022-02-04,527
CUST_00128,59,Philadelphia,2020-11-26,798
CUST_00129,56,Phoenix,2022-12-22,820
CUST_00130,58,Houston,2020-01-02,438
CUST_00131,45,Chicago,2021-10-25,575
CUST_00132,24,Chicago,2022-09-27,590
CUST_00133,26,Philadelphia,2020-02-09,352
CUST_00134,25,Houston,2020-08-17,409
CUST_00135,29,Philadelphia,2022-01-13,303
CUST_00136,51,Chicago,2021-09-21,346
CUST_00137,50,Houston,2021-05-05,393
CUST_00138,65,Dallas,2020-04-28,512
CUST_00139,72,Phoenix,2021-05-08,735
CUST_00140,40,San Antonio,2020-06-10,807
CUST_00141,41,Austin,2020-06-24,504
CUST_00142,54,Los Angeles,2022-09-22,680
CUST_00143,52,Phoenix,2020-05-21,372
CUST_00144,61,Dallas,2022-12-26,815
CUST_00145,57,Chicago,2020-09-14,375
CUST_00146,39,Dallas,2020-09-19,376
CUST_00147,44,Philadelphia,2022-08-31,709
CUST_00148,52,Houston,2020-12-04,405
CUST_00149,18,San Antonio,2021-06-26,775
CUST_00150,52,San Diego,2022-12-16,574
CUST_00151,54,Philadelphia,2022-05-16,387
CUST_00152,64,Phoenix,2021-03-09,376
CUST_00153,31,Philadelphia,2021-02-15,376
CUST_00154,20,Phoenix,2021-09-30,741
CUST_00155,18,San Diego,2022-03-28,839
CUST_00156,22,New York,2022-02-03,544
CUST_00157,43,San Antonio,2022-06-16,681
CUST_00158,72,Austin,2022-11-25,441
CUST_00159,31,Austin,2022-07-13,667
CUST_00160,56,Los Angeles,2020-09-04,383
CUST_00161,44,Dallas,2021-05-22,442
CUST_00162,26,New York,2021-04-05,651
CUST_00163,32,Austin,2020-05-11,844
CUST_00164,32,Philadelphia,2021-11-23,451
CUST_00165,43,Dallas,2020-02-13,457
CUST_00166,59,New York,2021-04-16,745
CUST_00167,30,Houston,2021-03-27,602
CUST_00168,68,Houston,2020-01-15,749
CUST_00169,49,Dallas,2020-05-25,523
CUST_00170,56,Phoenix,2020-04-30,342
