device_id,customer_id,device_type,os,registration_date
DEV_000001,CUST_03016,ATM,MacOS,2022-03-22
DEV_000002,CUST_03724,Desktop,iOS,2021-03-16
DEV_000003,CUST_03480,Mobile,MacOS,2022-07-14
DEV_000004,CUST_04215,Mobile,iOS,2021-09-26
DEV_000005,CUST_04028,Desktop,Android,2021-09-15
DEV_000006,CUST_04938,POS Terminal,iOS,2021-11-07
DEV_000007,CUST_03119,Desktop,Windows,2021-04-21
DEV_000008,CUST_00664,Desktop,Windows,2022-11-06
DEV_000009,CUST_01024,Desktop,Android,2022-04-13
DEV_000010,CUST_04883,Mobile,iOS,2020-10-22
DEV_000011,CUST_04443,POS Terminal,iOS,2021-10-06
DEV_000012,CUST_00237,Mobile,Windows,2020-01-14
DEV_000013,CUST_03285,Desktop,Android,2020-04-18
DEV_000014,CUST_03344,Mobile,Windows,2022-01-03
DEV_000015,CUST_02126,Mobile,Android,2020-09-02
DEV_000016,CUST_03218,Mobile,Windows,2020-05-25
DEV_000017,CUST_01956,POS Terminal,Linux,2020-05-10
DEV_000018,CUST_00229,Desktop,iOS,2022-12-20
DEV_000019,CUST_04939,Mobile,MacOS,2022-04-27
DEV_000020,CUST_03413,POS Terminal,Linux,2020-11-26
DEV_000021,CUST_02887,Desktop,Windows,2021-02-02
DEV_000022,CUST_04260,Desktop,Android,2021-05-24
DEV_000023,CUST_04478,Desktop,MacOS,2021-01-02
DEV_000024,CUST_04678,Mobile,Android,2021-01-06
DEV_000025,CUST_02820,Mobile,N/A,2020-03-01
DEV_000026,CUST_02990,Mobile,Android,2022-10-10
DEV_000027,CUST_01087,Desktop,N/A,2020-09-01
DEV_000028,CUST_01994,Mobile,N/A,2021-11-10
DEV_000029,CUST_04342,Desktop,iOS,2020-07-01
DEV_000030,CUST_03046,Mobile,Windows,2020-07-11
DEV_000031,CUST_03306,Mobile,iOS,2022-04-06
DEV_000032,CUST_01993,ATM,N/A,2022-03-04
DEV_000033,CUST_03600,POS Terminal,Android,2022-04-14
DEV_000034,CUST_03588,Mobile,iOS,2022-02-19
DEV_000035,CUST_01306,POS Terminal,Linux,2022-08-29
DEV_000036,CUST_04460,Desktop,N/A,2020-10-10
DEV_000037,CUST_00920,POS Terminal,Android,2021-12-04
DEV_000038,CUST_00042,Mobile,Android,2021-01-09
DEV_000039,CUST_01283,Mobile,Linux,2020-07-15
DEV_000040,CUST_03566,POS Terminal,Android,2021-09-29
DEV_000041,CUST_02121,POS Terminal,MacOS,2021-12-28
DEV_000042,CUST_03146,Desktop,MacOS,2020-12-29
DEV_000043,CUST_02683,POS Terminal,Windows,2022-05-31
DEV_000044,CUST_04497,Desktop,Windows,2021-05-31
DEV_000045,CUST_03151,Mobile,iOS,2022-10-20
DEV_000046,CUST_03725,Mobile,iOS,2020-07-04
DEV_000047,CUST_01834,Mobile,Linux,2021-01-12
DEV_000048,CUST_02518,POS Terminal,Linux,2021-06-17
DEV_000049,CUST_03837,ATM,N/A,2022-04-02
DEV_000050,CUST_03863,Desktop,Android,2021-02-14
DEV_000051,CUST_00129,Desktop,Windows,2021-04-09
DEV_000052,CUST_04475,POS Terminal,N/A,2021-12-20
DEV_000053,CUST_03187,Mobile,Windows,2020-06-16
DEV_000054,CUST_01346,Mobile,Windows,2021-11-26
DEV_000055,CUST_02437,Mobile,Windows,2022-07-14
DEV_000056,CUST_02834,Desktop,iOS,2020-07-11
DEV_000057,CUST_04560,POS Terminal,MacOS,2022-12-08
DEV_000058,CUST_04643,Mobile,N/A,2021-06-11
DEV_000059,CUST_04505,Desktop,Linux,2020-02-11
DEV_000060,CUST_04714,POS Terminal,Linux,2020-05-04
DEV_000061,CUST_04857,Mobile,Windows,2020-05-01
DEV_000062,CUST_03224,Desktop,Windows,2022-02-03
DEV_000063,CUST_03477,Mobile,iOS,2020-07-14
