transaction_id,customer_id,amount,merchant,card_type,transaction_time
TXN100000,CUST1860,31094.61,Bhatbhateni,Visa,2022-12-03 10:37:32
TXN100001,CUST4772,20365.58,BigMart,Visa,2023-04-18 16:21:13
TXN100002,CUST4092,15806.35,Bhatbhateni,MasterCard,2022-10-16 10:17:48
TXN100003,CUST1466,49276.56,SastoDeal,MasterCard,2024-02-17 15:37:12
TXN100004,CUST5426,23360.49,SastoDeal,Visa,2023-09-13 22:55:58
TXN100005,CUST4444,37516.98,BigMart,Visa,2023-04-09 13:11:48
TXN100006,CUST4171,8952.88,SastoDeal,Amex,2025-04-15 01:26:58
TXN100007,CUST3919,771.42,SastoDeal,Amex,2025-06-03 05:09:18
TXN100008,CUST1130,20936.37,SastoDeal,Visa,2023-04-08 20:20:44
TXN100009,CUST2685,33316.68,Daraz,Visa,2024-08-04 16:31:21
TXN100010,CUST1769,25379.27,BigMart,Amex,2023-11-19 17:44:22
TXN100011,CUST3391,44534.27,BigMart,Amex,2023-10-28 04:20:00
TXN100012,CUST3433,21755.57,Bhatbhateni,Visa,2025-05-16 23:05:41
TXN100013,CUST2184,15619.04,BigMart,Amex,2022-01-08 17:32:18
TXN100014,CUST5555,45810.83,CityExpress,MasterCard,2022-09-27 03:41:58
TXN100015,CUST4385,20399.43,BigMart,Amex,2023-02-14 15:46:46
TXN100016,CUST5117,13555.43,CityExpress,Visa,2024-06-25 16:02:34
TXN100017,CUST5843,4973.29,SastoDeal,MasterCard,2024-03-06 08:41:59
TXN100018,CUST3904,39686.16,CityExpress,MasterCard,2023-10-31 01:22:03
TXN100019,CUST1474,41272.06,Daraz,Amex,2023-10-30 01:08:47
TXN100020,CUST2082,1761.56,SastoDeal,Visa,2022-10-28 07:44:27
TXN100021,CUST3558,17996.42,CityExpress,Amex,2023-02-20 17:41:49
TXN100022,CUST3047,37518.84,SastoDeal,Amex,2022-09-28 02:15:19
TXN100023,CUST3747,47324.45,Daraz,Amex,2025-03-03 23:23:16
TXN100024,CUST1975,18953.13,SastoDeal,MasterCard,2022-03-26 16:14:02
TXN100025,CUST2806,43615.47,SastoDeal,Amex,2025-02-07 12:32:07
TXN100026,CUST1189,19746.65,BigMart,Amex,2025-06-12 15:55:47
TXN100027,CUST3734,9056.78,Bhatbhateni,Amex,2024-06-25 04:36:45
TXN100028,CUST4005,271.96,CityExpress,Amex,2023-07-08 23:21:22
TXN100029,CUST5658,16576.03,Bhatbhateni,Visa,2023-01-20 12:06:38
TXN100030,CUST2899,18985.91,Daraz,Visa,2023-11-11 06:26:09
TXN100031,CUST2267,47261.36,Daraz,Visa,2025-03-11 15:13:55
TXN100032,CUST2528,10382.91,SastoDeal,MasterCard,2023-12-06 23:31:35
TXN100033,CUST4202,19173.31,Bhatbhateni,Visa,2024-09-16 00:18:29
TXN100034,CUST4556,1355.19,CityExpress,Amex,2024-11-06 20:11:30
TXN100035,CUST4890,38200.63,CityExpress,Amex,2024-01-06 15:21:06
TXN100036,CUST1646,45765.55,SastoDeal,Visa,2024-08-29 01:30:20
TXN100037,CUST3888,11967.25,CityExpress,MasterCard,2025-09-08 18:58:10
TXN100038,CUST3435,21506.86,BigMart,MasterCard,2025-06-29 07:02:22
TXN100039,CUST1600,6193.42,Bhatbhateni,MasterCard,2023-01-12 17:09:57
TXN100040,CUST3363,22896.09,Daraz,Amex,2023-03-06 21:09:51
TXN100041,CUST3061,6753.79,CityExpress,Visa,2024-10-25 04:20:23
TXN100042,CUST1241,26215.09,CityExpress,MasterCard,2024-06-08 21:20:12
TXN100043,CUST3041,36757.64,CityExpress,Amex,2024-05-04 14:56:48
TXN100044,CUST3824,27711.8,SastoDeal,MasterCard,2024-09-16 12:11:43
TXN100045,CUST3612,12336.46,Daraz,MasterCard,2024-08-29 00:54:56
TXN100046,CUST2363,17754.42,Bhatbhateni,Visa,2023-07-15 01:16:44
TXN100047,CUST2478,31964.78,CityExpress,Amex,2022-10-03 11:58:23
TXN100048,CUST3556,29528.8,BigMart,MasterCard,2024-08-23 23:31:11
TXN100049,CUST1775,6925.06,SastoDeal,Amex,2024-01-04 01:37:18
TXN100050,CUST5014,42262.98,Bhatbhateni,MasterCard,2025-07-13 22:43:00
TXN100051,CUST1034,23811.93,CityExpress,Visa,2022-12-27 11:34:32
TXN100052,CUST4152,8202.22,Bhatbhateni,MasterCard,2023-07-08 08:31:22
TXN100053,CUST2955,6229.04,SastoDeal,Visa,2023-09-21 18:45:53
TXN100054,CUST2585,48281.03,BigMart,MasterCard,2025-07-20 21:03:39
TXN100055,CUST4943,14148.6,CityExpress,Visa,2025-04-17 23:36:50
TXN100056,CUST4073,45438.82,BigMart,MasterCard,2022-05-24 02:18:07
TXN100057,CUST2021,20588.21,SastoDeal,MasterCard,2023-06-04 19:06:11
TXN100058,CUST4461,19357.48,BigMart,MasterCard,2024-12-05 07:50:28
TXN100059,CUST3613,35076.36,SastoDeal,Amex,2022-10-03 20:03:08
TXN100060,CUST4843,593.18,BigMart,Amex,2023-08-19 23:26:47
TXN100061,CUST2500,16970.67,Bhatbhateni,MasterCard,2023-09-21 00:48:25
TXN100062,CUST5798,15202.02,Bhatbhateni,Amex,2023-07-31 05:08:06
TXN100063,CUST1161,43418.09,SastoDeal,Amex,2025-06-18 14:52:59
TXN100064,CUST5297,26503.26,Bhatbhateni,MasterCard,2023-06-01 13:04:51
TXN100065,CUST2981,18292.05,BigMart,MasterCard,2024-05-24 03:44:33
TXN100066,CUST1995,13377.36,BigMart,MasterCard,2025-08-08 20:47:05
TXN100067,CUST5911,29566.44,CityExpress,Amex,2022-04-14 01:10:26
TXN100068,CUST4342,7668.49,SastoDeal,Amex,2023-02-20 13:32:08
TXN100069,CUST5551,12385.62,Bhatbhateni,Amex,2024-01-28 23:10:23
TXN100070,CUST4798,14751.25,SastoDeal,MasterCard,2025-04-01 21:07:31
TXN100071,CUST2275,30434.66,Bhatbhateni,Amex,2025-10-25 18:59:22
TXN100072,CUST2016,18725.42,CityExpress,Amex,2023-08-29 23:29:13
TXN100073,CUST1337,25338.59,BigMart,Visa,2022-09-02 23:42:28
TXN100074,CUST1878,32556.87,BigMart,Visa,2023-07-29 08:36:21
TXN100075,CUST2076,47817.95,Daraz,MasterCard,2025-05-08 09:24:12
TXN100076,CUST5887,38265.39,SastoDeal,MasterCard,2023-01-18 14:17:31
TXN100077,CUST4993,20322.31,Bhatbhateni,Amex,2025-09-17 03:05:49
TXN100078,CUST5859,37438.94,Daraz,Visa,2024-09-20 13:18:17
TXN100079,CUST1379,47489.74,SastoDeal,Visa,2024-03-04 15:37:16
TXN100080,CUST1492,25019.09,Bhatbhateni,MasterCard,2022-04-05 02:32:11
TXN100081,CUST3062,20583.8,CityExpress,Amex,2024-08-20 11:56:03
TXN100082,CUST4884,3993.13,SastoDeal,MasterCard,2023-10-10 02:19:17
TXN100083,CUST1064,44629.28,Bhatbhateni,Amex,2023-10-09 23:50:22
TXN100084,CUST3568,12397.07,BigMart,Visa,2023-04-12 06:15:55
TXN100085,CUST3027,3291.5,SastoDeal,Amex,2022-06-13 11:07:26
TXN100086,CUST3695,26906.45,Bhatbhateni,Visa,2023-02-19 03:36:25
TXN100087,CUST2495,42310.39,BigMart,Visa,2024-01-05 08:44:45
TXN100088,CUST1391,20391.09,BigMart,Visa,2025-04-30 23:16:08
TXN100089,CUST5514,39175.07,Daraz,MasterCard,2023-07-28 22:59:09
TXN100090,CUST5474,41836.16,Bhatbhateni,MasterCard,2022-12-07 11:27:17
TXN100091,CUST4561,22774.74,Daraz,MasterCard,2023-01-23 03:21:22
TXN100092,CUST3278,29588.66,Daraz,Amex,2023-09-21 02:08:02
TXN100093,CUST4099,26742.22,CityExpress,MasterCard,2025-08-11 20:51:56
TXN100094,CUST1200,46965.87,Daraz,Visa,2024-06-22 11:48:09
TXN100095,CUST5875,36302.73,Daraz,MasterCard,2024-12-20 06:10:39
TXN100096,CUST4104,46274.61,CityExpress,Visa,2023-07-31 03:02:20
TXN100097,CUST5598,11078.5,CityExpress,MasterCard,2022-09-05 09:25:04
TXN100098,CUST3454,15580.82,SastoDeal,Amex,2023-03-25 05:41:05
TXN100099,CUST4645,3638.58,Daraz,Amex,2025-09-26 04:03:49
TXN100100,CUST1804,25045.41,BigMart,Visa,2023-11-17 21:29:07
TXN100101,CUST3731,43708.79,CityExpress,MasterCard,2025-04-22 17:36:42
TXN100102,CUST3773,16409.65,Bhatbhateni,MasterCard,2023-02-25 15:57:58
TXN100103,CUST2570,6501.28,SastoDeal,Visa,2025-04-02 21:29:04
TXN100104,CUST3690,3515.47,SastoDeal,Amex,2023-09-04 18:10:38
TXN100105,CUST4840,22430.26,Daraz,MasterCard,2023-11-06 15:57:39
TXN100106,CUST2028,8284.69,BigMart,MasterCard,2025-01-22 23:35:04
TXN100107,CUST1502,17370.59,CityExpress,MasterCard,2023-05-09 15:43:28
TXN100108,CUST5493,41016.99,Bhatbhateni,Amex,2024-11-02 00:42:17
TXN100109,CUST1870,19263.96,Daraz,MasterCard,2022-12-29 10:59:43
TXN100110,CUST5488,30532.56,BigMart,Amex,2023-06-10 03:56:04
TXN100111,CUST1206,25157.79,Daraz,MasterCard,2022-11-20 16:54:25
TXN100112,CUST2484,35954.81,Daraz,Amex,2024-05-21 18:47:31
TXN100113,CUST1863,7892.63,SastoDeal,Visa,2024-06-20 20:51:13
TXN100114,CUST3790,46030.01,Bhatbhateni,Amex,2024-12-21 10:59:38
TXN100115,CUST1563,32217.28,Bhatbhateni,Visa,2024-12-06 22:41:10
TXN100116,CUST5191,13620.59,Bhatbhateni,MasterCard,2024-12-22 23:04:08
TXN100117,CUST2757,6250.36,Bhatbhateni,MasterCard,2023-09-26 08:58:58
TXN100118,CUST2678,7571.31,CityExpress,MasterCard,2022-07-17 17:24:35
TXN100119,CUST4242,39154.88,CityExpress,Visa,2025-03-29 13:17:33
TXN100120,CUST5636,29446.69,Bhatbhateni,MasterCard,2024-09-11 13:25:02
TXN100121,CUST2059,19099.84,BigMart,Amex,2025-09-30 02:43:51
TXN100122,CUST2722,16711.75,CityExpress,Amex,2025-04-04 17:47:31
TXN100123,CUST4314,42802.32,CityExpress,Visa,2024-06-14 16:42:41
TXN100124,CUST4157,43750.65,BigMart,Amex,2024-05-06 15:19:57
TXN100125,CUST3625,29104.98,Bhatbhateni,Visa,2025-10-11 19:28:56
TXN100126,CUST3729,26274.75,Daraz,Visa,2023-06-11 17:57:48
TXN100127,CUST2597,40840.76,CityExpress,MasterCard,2025-03-07 21:08:14
TXN100128,CUST4060,37491.83,Daraz,Visa,2023-01-24 02:46:18
TXN100129,CUST3693,20076.23,Daraz,Amex,2022-08-28 09:06:51
TXN100130,CUST5891,4228.66,BigMart,Amex,2023-03-26 22:25:01
TXN100131,CUST4627,38448.16,Bhatbhateni,MasterCard,2022-11-11 15:32:08
TXN100132,CUST2363,8518.18,Daraz,Visa,2025-09-25 00:57:04
TXN100133,CUST2981,917.21,Bhatbhateni,MasterCard,2025-01-03 09:37:57
TXN100134,CUST2663,42180.8,SastoDeal,MasterCard,2025-03-18 19:37:40
TXN100135,CUST2529,28954.87,Bhatbhateni,MasterCard,2023-08-27 03:16:48
TXN100136,CUST3038,44594.14,BigMart,MasterCard,2024-02-07 04:13:01
TXN100137,CUST4302,24280.95,BigMart,MasterCard,2024-07-09 05:54:29
