txn_id,customer_id,amount,txn_type,timestamp
CBS100000,CUST4641,73862.64,Deposit,2024-01-30 09:41:37
CBS100001,CUST3534,4268.2,Deposit,2023-04-18 14:48:24
CBS100002,CUST2443,59621.58,Withdrawal,2023-01-16 03:11:16
CBS100003,CUST5869,76121.16,Withdrawal,2024-12-29 13:47:04
CBS100004,CUST5783,96986.92,Transfer,2022-07-16 12:53:48
CBS100005,CUST4079,14307.47,Deposit,2025-04-29 22:08:48
CBS100006,CUST1069,86424.04,Transfer,2022-05-20 09:18:59
CBS100007,CUST2373,63123.54,Deposit,2022-03-28 09:03:54
CBS100008,CUST4325,72880.57,Transfer,2023-06-16 00:16:40
CBS100009,CUST3386,74199.7,Deposit,2023-11-04 22:32:24
CBS100010,CUST4977,72546.98,Withdrawal,2024-08-11 00:32:36
CBS100011,CUST3351,92349.01,Withdrawal,2024-12-31 04:04:02
CBS100012,CUST2901,12746.65,Deposit,2022-02-18 20:16:42
CBS100013,CUST3666,28694.55,Deposit,2025-09-02 10:14:55
CBS100014,CUST4105,90378.17,Transfer,2022-07-04 14:38:07
CBS100015,CUST4650,45917.35,Transfer,2025-04-24 06:26:33
CBS100016,CUST1281,40884.09,Deposit,2023-11-20 08:05:26
CBS100017,CUST3750,54146.71,Withdrawal,2022-06-12 19:52:16
CBS100018,CUST1661,31403.12,Deposit,2023-09-12 19:06:27
CBS100019,CUST1479,59972.1,Deposit,2025-09-19 15:26:17
CBS100020,CUST1548,87996.76,Withdrawal,2023-02-19 04:46:47
CBS100021,CUST1642,39875.93,Withdrawal,2023-07-29 10:00:23
CBS100022,CUST1987,21175.67,Transfer,2023-02-27 18:21:15
CBS100023,CUST1363,16040.0,Transfer,2023-03-28 08:01:15
CBS100024,CUST4687,69923.82,Withdrawal,2022-07-03 16:27:23
CBS100025,CUST5065,7819.54,Deposit,2022-05-27 06:29:13
CBS100026,CUST4979,7975.81,Withdrawal,2025-01-08 13:56:47
CBS100027,CUST3312,96148.08,Withdrawal,2022-10-05 17:02:23
CBS100028,CUST2349,66870.39,Deposit,2025-03-29 06:31:53
CBS100029,CUST2169,19328.67,Deposit,2023-06-07 17:52:49
CBS100030,CUST3112,63428.79,Withdrawal,2022-04-20 20:18:19
CBS100031,CUST1590,58088.86,Deposit,2023-11-27 23:08:23
CBS100032,CUST4515,78028.85,Transfer,2022-11-30 14:33:10
CBS100033,CUST1683,42656.46,Withdrawal,2025-05-01 11:09:50
CBS100034,CUST4210,2173.93,Transfer,2025-10-05 00:22:33
CBS100035,CUST1130,44295.9,Deposit,2025-03-11 04:18:05
CBS100036,CUST5812,69280.3,Transfer,2025-01-14 09:09:16
CBS100037,CUST3820,95750.81,Transfer,2025-04-11 10:54:06
CBS100038,CUST4743,84094.73,Transfer,2024-03-13 13:18:00
CBS100039,CUST3709,2811.04,Withdrawal,2024-09-29 10:23:11
CBS100040,CUST2972,24842.1,Withdrawal,2023-03-08 16:24:40
CBS100041,CUST3154,55212.22,Deposit,2022-05-12 15:35:25
CBS100042,CUST3073,6005.34,Deposit,2024-09-29 10:18:39
CBS100043,CUST5008,59759.61,Transfer,2024-02-02 06:50:09
CBS100044,CUST3686,43194.86,Withdrawal,2023-08-05 22:14:18
CBS100045,CUST1268,67030.32,Transfer,2022-02-16 05:17:34
CBS100046,CUST3378,22442.3,Withdrawal,2024-10-19 00:29:29
CBS100047,CUST5204,19123.03,Withdrawal,2022-10-18 14:54:46
CBS100048,CUST4259,91565.83,Deposit,2025-05-28 05:57:22
CBS100049,CUST5842,34683.67,Withdrawal,2022-08-11 03:15:19
CBS100050,CUST4117,97119.9,Withdrawal,2024-01-20 23:15:58
CBS100051,CUST1242,16388.18,Deposit,2024-04-26 02:25:44
CBS100052,CUST5868,75457.7,Deposit,2022-12-14 17:52:53
CBS100053,CUST3447,20559.01,Deposit,2024-10-30 00:18:39
CBS100054,CUST5636,71724.51,Deposit,2022-06-10 19:53:06
CBS100055,CUST3066,26599.62,Withdrawal,2022-07-08 05:34:34
CBS100056,CUST5027,33503.35,Withdrawal,2023-08-28 06:48:38
CBS100057,CUST4550,64305.37,Withdrawal,2024-06-11 13:14:52
CBS100058,CUST4247,3839.54,Withdrawal,2023-06-15 07:13:16
CBS100059,CUST1220,25032.41,Transfer,2022-08-16 10:00:43
CBS100060,CUST1582,85803.7,Withdrawal,2023-01-21 17:13:28
CBS100061,CUST5420,31488.35,Withdrawal,2023-07-22 06:01:27
CBS100062,CUST3999,95605.28,Transfer,2025-02-11 19:45:51
CBS100063,CUST2440,14751.31,Transfer,2025-01-04 14:31:12
CBS100064,CUST5591,72288.13,Transfer,2024-07-26 00:34:40
CBS100065,CUST5118,16736.22,Transfer,2025-02-12 04:41:40
CBS100066,CUST3426,76495.05,Transfer,2025-01-08 06:11:08
CBS100067,CUST2633,21712.05,Withdrawal,2022-10-29 13:46:47
CBS100068,CUST1188,86674.7,Deposit,2024-05-25 01:22:15
CBS100069,CUST5544,62609.32,Withdrawal,2022-09-23 10:18:40
CBS100070,CUST1641,88170.23,Withdrawal,2024-10-15 18:12:40
CBS100071,CUST5793,62989.93,Deposit,2022-09-22 14:18:02
CBS100072,CUST5936,80756.38,Withdrawal,2022-03-27 11:56:56
CBS100073,CUST5123,87054.26,Withdrawal,2024-06-21 00:28:03
CBS100074,CUST4667,47156.48,Deposit,2022-03-29 01:46:40
CBS100075,CUST3846,67506.2,Withdrawal,2022-12-17 03:55:51
CBS100076,CUST4119,3145.43,Deposit,2022-09-09 04:42:33
CBS100077,CUST4629,49888.23,Withdrawal,2025-08-10 04:00:58
CBS100078,CUST4454,21644.78,Transfer,2023-03-06 17:24:13
CBS100079,CUST2018,11893.47,Deposit,2022-04-07 13:29:32
CBS100080,CUST1556,99648.39,Withdrawal,2025-02-20 03:18:35
CBS100081,CUST3354,99708.39,Transfer,2022-02-13 03:21:57
CBS100082,CUST1814,21685.42,Withdrawal,2023-12-04 09:43:27
CBS100083,CUST1828,89793.4,Withdrawal,2022-09-14 00:40:00
CBS100084,CUST1546,89754.96,Withdrawal,2024-11-30 05:42:16
CBS100085,CUST2934,97656.75,Deposit,2025-03-25 04:26:57
CBS100086,CUST5046,39535.52,Transfer,2024-10-30 23:21:50
CBS100087,CUST4492,93234.7,Transfer,2022-06-17 02:27:25
CBS100088,CUST2079,78293.5,Withdrawal,2022-07-26 08:17:15
CBS100089,CUST2594,73624.36,Deposit,2022-06-08 17:51:39
CBS100090,CUST2944,25157.71,Transfer,2024-03-16 10:03:18
CBS100091,CUST2555,49299.87,Transfer,2023-12-03 02:20:51
CBS100092,CUST1687,78909.86,Deposit,2024-05-03 12:54:03
CBS100093,CUST3133,84752.79,Transfer,2025-03-09 02:54:36
CBS100094,CUST5755,20184.61,Withdrawal,2025-01-09 16:16:42
CBS100095,CUST3958,31468.76,Withdrawal,2025-06-24 01:44:22
CBS100096,CUST1573,16673.95,Deposit,2023-05-15 17:27:37
CBS100097,CUST4677,15553.11,Transfer,2023-03-30 07:38:54
CBS100098,CUST4988,21729.92,Transfer,2024-09-29 18:28:28
CBS100099,CUST3256,90978.52,Withdrawal,2022-09-28 02:35:09
CBS100100,CUST1910,36573.77,Transfer,2024-01-14 04:13:56
CBS100101,CUST2015,50012.48,Transfer,2022-01-02 14:54:58
CBS100102,CUST4134,1659.7,Transfer,2022-09-30 22:47:55
CBS100103,CUST1794,75420.71,Deposit,2022-02-03 19:30:59
CBS100104,CUST2333,29213.49,Deposit,2024-07-04 02:10:55
CBS100105,CUST3795,70569.73,Deposit,2025-10-16 09:31:14
CBS100106,CUST5262,20286.89,Transfer,2025-07-11 18:51:23
CBS100107,CUST2023,38015.71,Transfer,2023-04-11 11:14:31
CBS100108,CUST5724,52003.22,Transfer,2023-05-20 08:57:37
CBS100109,CUST5328,63311.54,Deposit,2023-06-16 05:45:47
CBS100110,CUST1162,16905.0,Transfer,2023-12-06 13:22:32
CBS100111,CUST4336,43516.64,Transfer,2023-01-28 22:40:04
CBS100112,CUST2898,1674.24,Withdrawal,2024-12-19 09:48:54
CBS100113,CUST2901,13704.58,Withdrawal,2023-10-22 17:29:56
CBS100114,CUST5601,33153.92,Withdrawal,2022-11-02 23:57:15
CBS100115,CUST3682,93716.01,Transfer,2025-09-21 10:54:57
CBS100116,CUST4838,88387.26,Withdrawal,2024-08-18 11:51:19
CBS100117,CUST4177,52622.31,Deposit,2024-05-31 04:20:17
CBS100118,CUST2859,60638.73,Withdrawal,2025-09-08 12:34:06
CBS100119,CUST2167,29183.93,Withdrawal,2022-02-02 14:43:18
CBS100120,CUST5495,67150.82,Withdrawal,2025-04-01 07:21:15
CBS100121,CUST4036,24093.95,Deposit,2023-03-29 02:05:20
CBS100122,CUST4819,749.73,Deposit,2025-03-30 23:14:20
CBS100123,CUST5639,96341.97,Withdrawal,2023-01-11 10:15:40
CBS100124,CUST1357,38472.07,Deposit,2025-01-24 06:43:52
CBS100125,CUST5582,52510.71,Transfer,2022-12-18 15:21:02
CBS100126,CUST5342,10459.21,Deposit,2022-06-25 17:11:33
CBS100127,CUST2255,52967.99,Withdrawal,2024-11-11 04:18:15
CBS100128,CUST3085,90284.16,Deposit,2023-10-24 04:28:12
CBS100129,CUST1678,87826.07,Withdrawal,2024-05-15 06:04:29
CBS100130,CUST1445,58005.04,Withdrawal,2022-08-14 11:41:32
CBS100131,CUST2640,85745.6,Deposit,2022-02-13 12:22:45
CBS100132,CUST1053,36741.92,Transfer,2023-12-12 03:33:21
CBS100133,CUST5844,19656.51,Transfer,2023-11-16 07:50:54
CBS100134,CUST4982,42452.27,Deposit,2024-03-22 05:53:39
CBS100135,CUST1017,81058.41,Withdrawal,2023-07-27 11:09:53
CBS100136,CUST1771,70832.7,Withdrawal,2022-09-13 11:43:02
CBS100137,CUST2319,38771.81,Transfer,2025-05-28 02:18:52
CBS100138,CUST2598,34479.38,Deposit,2023-12-01 18:05:34
CBS100139,CUST4553,96450.22,Deposit,2023-06-01 02:32:38
CBS100140,CUST1018,26705.99,Withdrawal,2023-01-22 07:10:27
CBS100141,CUST5693,31160.08,Withdrawal,2022-07-28 03:00:44
CBS100142,CUST2958,35055.64,Transfer,2025-02-28 05:25:33
CBS100143,CUST3794,78405.28,Deposit,2022-02-28 00:37:22
CBS100144,CUST4520,85090.94,Withdrawal,2023-09-01 08:22:46
CBS100145,CUST1308,22100.17,Transfer,2024-09-25 01:37:56
CBS100146,CUST3193,41033.98,Withdrawal,2022-06-04 07:10:49
CBS100147,CUST3854,86606.9,Deposit,2025-07-06 18:51:41
CBS100148,CUST4490,31699.98,Transfer,2022-10-30 16:13:18
CBS100149,CUST5424,40681.28,Withdrawal,2023-04-10 13:45:50
CBS100150,CUST2360,55589.4,Transfer,2025-07-28 22:16:12
CBS100151,CUST2441,64323.57,Withdrawal,2022-07-06 16:34:59
CBS100152,CUST1782,30710.0,Transfer,2025-03-23 02:43:00
CBS100153,CUST4858,57798.9,Transfer,2024-07-30 05:49:06
CBS100154,CUST2098,72579.79,Transfer,2022-09-13 02:09:26
CBS100155,CUST1983,9463.89,Deposit,2024-12-31 04:12:53
CBS100156,CUST4156,99932.53,Deposit,2023-12-12 23:53:58
CBS100157,CUST5433,93308.46,Deposit,2022-06-17 21:18:32
CBS100158,CUST1793,15715.37,Transfer,2022-10-25 03:18:08
CBS100159,CUST3224,33528.76,Deposit,2022-12-09 02:17:18
CBS100160,CUST2781,28507.8,Transfer,2024-05-29 17:24:34
CBS100161,CUST1771,2696.41,Deposit,2023-12-07 02:16:34
CBS100162,CUST5342,50446.62,Transfer,2024-10-25 01:53:44
CBS100163,CUST1588,16243.7,Withdrawal,2023-02-08 03:23:09
CBS100164,CUST1713,14106.45,Deposit,2025-06-10 14:52:51
CBS100165,CUST2104,21466.63,Withdrawal,2023-06-11 06:58:02
CBS100166,CUST3678,76077.88,Deposit,2022-02-19 23:59:35
CBS100167,CUST4178,13354.21,Withdrawal,2022-09-10 11:01:13
CBS100168,CUST3696,63032.82,Deposit,2022-07-03 02:26:02
CBS100169,CUST4170,29432.92,Withdrawal,2025-10-29 21:15:42
CBS100170,CUST3736,7306.23,Deposit,2023-03-27 12:01:00
CBS100171,CUST1047,97805.63,Transfer,2023-07-14 07:42:37
CBS100172,CUST1398,64949.96,Deposit,2023-01-03 12:27:49
CBS100173,CUST3092,20759.23,Deposit,2022-06-15 14:23:03
CBS100174,CUST2281,50864.85,Transfer,2022-05-21 09:55:25
CBS100175,CUST5261,39159.69,Withdrawal,2023-07-27 03:58:23
CBS100176,CUST4586,17948.21,Deposit,2024-05-31 14:02:55
CBS100177,CUST1480,96138.57,Deposit,2024-01-06 19:34:27
CBS100178,CUST5976,86002.61,Transfer,2023-04-07 20:08:28
CBS100179,CUST5794,37239.05,Withdrawal,2024-08-10 19:09:36
CBS100180,CUST3656,81176.4,Transfer,2024-01-02 10:49:36
CBS100181,CUST3238,19365.54,Withdrawal,2024-05-13 04:20:37
CBS100182,CUST5138,7967.47,Withdrawal,2024-09-18 11:04:06
CBS100183,CUST3819,52898.49,Withdrawal,2023-11-08 13:23:23
CBS100184,CUST1236,39549.31,Deposit,2025-05-17 15:33:03
CBS100185,CUST4772,7447.74,Deposit,2024-12-05 10:48:13
CBS100186,CUST4925,63233.45,Deposit,2024-09-17 20:45:08
CBS100187,CUST1816,82052.43,Transfer,2023-10-07 22:20:44
CBS100188,CUST2983,52968.23,Deposit,2023-03-16 09:18:11
CBS100189,CUST1531,5864.33,Transfer,2022-11-06 05:51:13
