customer_id,credit_score,last_updated
CUST4609,322,2023-01-29 17:51:53
CUST1688,717,2023-05-29 14:09:00
CUST5807,731,2024-03-03 16:55:34
CUST1426,711,2025-06-30 06:44:14
CUST5036,691,2024-12-09 22:44:50
CUST4770,840,2025-04-17 23:23:35
CUST2698,701,2024-09-18 11:27:06
CUST1267,543,2025-08-27 18:54:39
CUST2673,352,2025-01-03 14:40:22
CUST4221,574,2022-04-30 12:14:31
CUST4715,736,2025-06-21 12:38:16
CUST2914,894,2022-08-04 14:53:14
CUST1436,348,2023-10-03 12:28:19
CUST3768,548,2024-10-20 13:04:43
CUST1686,646,2024-06-27 23:40:03
CUST3235,435,2022-07-03 06:43:17
CUST4229,720,2023-12-13 01:03:34
CUST1116,766,2024-10-18 22:51:35
CUST5991,360,2023-04-21 14:05:08
CUST1701,809,2022-04-24 13:46:13
CUST4096,379,2022-01-18 22:01:18
CUST1411,873,2023-12-31 02:44:37
CUST2004,845,2023-03-20 20:01:12
CUST3126,482,2023-07-31 05:05:47
CUST1961,347,2022-02-07 01:30:26
CUST3589,417,2022-02-26 15:10:25
CUST2411,498,2023-06-16 03:20:20
CUST1958,492,2022-04-27 07:38:57
CUST4914,699,2025-02-10 19:20:28
CUST3046,500,2024-12-09 17:01:29
CUST1920,454,2024-09-07 05:09:24
CUST5749,341,2022-05-04 16:32:28
CUST1809,601,2024-07-20 15:53:04
CUST5333,373,2022-02-20 15:51:47
CUST1545,434,2024-09-25 16:17:52
CUST4204,391,2023-04-15 19:14:19
CUST3285,831,2024-02-22 23:04:48
CUST3197,343,2025-05-30 17:01:03
CUST3577,392,2022-08-04 22:29:14
CUST2421,412,2024-05-09 05:19:20
CUST2109,609,2023-05-23 12:46:24
CUST5559,799,2024-12-13 00:05:19
CUST3415,724,2024-01-20 04:20:50
CUST3374,813,2022-02-10 07:51:40
CUST2751,545,2023-02-25 06:56:28
CUST4397,743,2025-03-24 22:05:19
CUST2185,444,2024-11-28 13:26:39
CUST3612,629,2023-03-12 04:28:59
CUST4051,331,2022-09-13 13:08:59
CUST5201,547,2022-04-08 09:26:37
CUST5211,314,2023-12-12 22:50:38
CUST1232,593,2022-02-15 04:23:27
CUST4618,485,2025-09-17 02:52:31
CUST4623,359,2024-04-28 17:38:23
CUST2336,684,2025-02-06 18:49:00
CUST4564,598,2023-06-09 12:09:04
CUST4305,308,2022-06-29 08:36:18
CUST5316,536,2024-03-05 03:28:13
CUST4336,435,2023-02-01 15:45:42
CUST5546,822,2023-07-21 04:19:06
CUST5108,796,2022-02-26 06:57:18
CUST2765,581,2023-09-18 20:59:47
CUST2775,754,2022-03-25 10:19:38
CUST5662,821,2025-09-15 06:02:05
CUST2238,367,2023-08-04 15:41:09
CUST1195,334,2025-06-02 01:15:25
CUST4624,555,2022-12-30 18:41:28
CUST3167,531,2022-01-22 15:29:16
CUST5038,579,2025-05-24 11:56:12
