loan_id,customer_id,loan_amount,loan_type,status,applied_date
LN10000,CUST1172,522396.33,Home,Pending,2024-06-08 16:21:51
LN10001,CUST3134,862950.22,Home,Approved,2022-02-20 02:23:44
LN10002,CUST4393,79425.89,Auto,Pending,2025-01-15 20:33:42
LN10003,CUST1629,518459.34,Education,Pending,2024-09-25 01:09:50
LN10004,CUST4594,189216.25,Personal,Approved,2024-12-04 15:20:42
LN10005,CUST5789,662578.2,Personal,Approved,2025-06-01 10:13:41
LN10006,CUST2933,740394.62,Education,Rejected,2024-01-24 15:09:13
LN10007,CUST4006,279777.85,Auto,Pending,2023-08-19 15:49:52
LN10008,CUST3764,522051.35,Home,Pending,2025-02-28 02:32:29
LN10009,CUST3688,519299.81,Home,Rejected,2022-08-06 06:32:24
LN10010,CUST5456,154958.25,Education,Rejected,2025-05-15 04:15:02
LN10011,CUST5634,711518.62,Auto,Pending,2024-08-27 21:51:31
LN10012,CUST5218,655959.6,Personal,Pending,2024-09-08 21:21:52
LN10013,CUST2986,390698.1,Education,Approved,2023-02-04 09:27:19
LN10014,CUST4940,123959.7,Education,Rejected,2023-08-07 08:25:26
LN10015,CUST5327,452934.87,Personal,Pending,2023-01-22 20:19:46
LN10016,CUST2165,445875.22,Home,Approved,2023-11-05 07:12:04
LN10017,CUST3673,490671.15,Education,Approved,2023-11-27 16:41:18
LN10018,CUST2171,313948.47,Education,Rejected,2024-01-04 03:58:00
LN10019,CUST3596,956241.33,Education,Pending,2022-08-21 12:42:00
LN10020,CUST1661,58817.75,Auto,Pending,2023-12-16 13:23:31
LN10021,CUST2718,857542.06,Home,Rejected,2025-08-13 02:07:15
LN10022,CUST5409,588095.65,Education,Rejected,2022-09-17 19:22:54
LN10023,CUST5875,544911.93,Auto,Pending,2022-08-01 07:35:01
LN10024,CUST4609,887857.21,Personal,Pending,2024-07-19 22:19:53
LN10025,CUST3403,267214.17,Personal,Pending,2022-09-30 09:34:38
LN10026,CUST4189,205643.1,Auto,Pending,2023-10-03 01:13:47
LN10027,CUST3748,83291.38,Home,Rejected,2024-11-23 19:58:01
LN10028,CUST5632,998605.29,Home,Approved,2025-07-06 18:27:10
LN10029,CUST1964,285864.74,Home,Approved,2023-02-14 20:31:15
LN10030,CUST5570,146127.14,Home,Rejected,2024-08-14 17:22:15
LN10031,CUST1932,825696.21,Home,Rejected,2024-03-22 03:40:26
LN10032,CUST1075,981574.3,Auto,Pending,2025-09-29 14:39:56
LN10033,CUST3982,964129.16,Home,Approved,2023-08-22 05:46:51
LN10034,CUST5373,659700.92,Home,Pending,2025-10-23 01:49:39
LN10035,CUST1202,120882.69,Education,Approved,2024-03-17 08:49:04
LN10036,CUST4196,672643.77,Personal,Pending,2022-11-28 10:09:53
LN10037,CUST2343,427161.06,Personal,Pending,2022-01-11 09:33:05
LN10038,CUST2272,677193.8,Education,Approved,2024-09-27 04:56:59
LN10039,CUST4498,985752.36,Education,Rejected,2025-10-03 09:52:42
LN10040,CUST1619,306457.82,Home,Pending,2025-02-01 00:15:16
LN10041,CUST4894,555231.57,Personal,Pending,2024-02-23 10:42:22
LN10042,CUST2018,491123.61,Education,Approved,2023-06-20 08:53:22
LN10043,CUST5234,577449.49,Auto,Approved,2025-01-18 19:43:35
LN10044,CUST2039,549296.09,Auto,Rejected,2022-01-27 20:00:13
LN10045,CUST3200,593702.95,Personal,Rejected,2023-08-07 21:10:55
LN10046,CUST1922,569203.8,Education,Pending,2023-11-18 00:28:42
LN10047,CUST4194,182306.91,Personal,Approved,2022-08-25 18:28:56
LN10048,CUST2195,299873.61,Personal,Rejected,2024-10-03 18:10:11
LN10049,CUST2477,202122.68,Personal,Approved,2022-03-01 02:19:04
LN10050,CUST4382,320977.14,Education,Pending,2024-06-18 19:42:48
LN10051,CUST1334,733515.36,Personal,Approved,2022-03-17 09:36:20
LN10052,CUST2780,958278.35,Home,Rejected,2022-04-21 08:52:27
LN10053,CUST2808,259035.0,Home,Approved,2022-05-09 18:07:46
LN10054,CUST4440,373618.21,Education,Approved,2024-07-13 06:15:32
LN10055,CUST3087,601551.78,Personal,Rejected,2025-06-18 14:00:18
LN10056,CUST4781,515874.67,Personal,Pending,2025-10-14 17:21:00
LN10057,CUST1586,655913.23,Auto,Approved,2022-06-20 17:09:08
LN10058,CUST5845,381369.69,Education,Approved,2022-11-02 02:23:43
LN10059,CUST3356,100670.63,Personal,Rejected,2025-01-07 22:53:27
LN10060,CUST2744,432047.02,Personal,Pending,2022-11-03 07:08:19
LN10061,CUST2088,352071.11,Education,Approved,2023-12-13 15:44:45
LN10062,CUST5992,491748.44,Education,Pending,2023-03-30 21:23:18
LN10063,CUST1934,456529.65,Personal,Pending,2022-10-24 13:54:45
LN10064,CUST1211,776271.83,Auto,Approved,2024-06-23 13:51:05
LN10065,CUST5522,590831.82,Auto,Pending,2024-05-27 00:06:52
LN10066,CUST4350,202036.52,Education,Rejected,2022-09-06 18:56:18
LN10067,CUST1761,535190.55,Personal,Pending,2025-02-06 21:03:45
LN10068,CUST1244,925907.36,Auto,Pending,2023-02-02 04:31:26
LN10069,CUST5587,262305.88,Education,Approved,2024-03-06 20:19:32
LN10070,CUST1030,626199.92,Education,Pending,2022-12-06 20:51:49
LN10071,CUST4948,231647.91,Auto,Rejected,2025-09-23 23:04:21
LN10072,CUST2203,464278.23,Home,Pending,2022-01-02 18:44:46
LN10073,CUST4461,996396.07,Home,Approved,2022-10-14 07:26:40
LN10074,CUST1302,571856.36,Home,Rejected,2025-02-08 22:24:29
LN10075,CUST3094,712933.21,Auto,Approved,2024-10-08 13:11:07
LN10076,CUST3166,463054.71,Auto,Pending,2022-06-04 00:29:56
LN10077,CUST5142,890852.44,Personal,Approved,2022-01-12 00:51:17
LN10078,CUST2097,283778.64,Education,Approved,2024-03-28 20:44:37
LN10079,CUST4611,379564.78,Personal,Rejected,2023-11-30 01:45:17
LN10080,CUST1055,737272.92,Education,Pending,2024-03-12 06:14:17
LN10081,CUST4649,751278.51,Auto,Rejected,2023-11-14 23:49:43
LN10082,CUST1762,797128.25,Home,Rejected,2022-01-04 00:20:43
LN10083,CUST1135,898173.83,Personal,Rejected,2023-03-18 08:43:24
LN10084,CUST1928,632388.45,Auto,Pending,2023-02-12 05:13:32
LN10085,CUST1459,763910.27,Personal,Approved,2025-01-17 20:32:10
LN10086,CUST1855,311188.58,Personal,Pending,2024-04-11 10:44:20
LN10087,CUST3255,132038.58,Home,Rejected,2024-09-08 21:47:37
LN10088,CUST3256,986314.23,Auto,Approved,2023-08-05 16:14:01
LN10089,CUST2202,866214.21,Education,Rejected,2025-10-06 10:01:16
LN10090,CUST4939,732458.78,Personal,Rejected,2023-08-06 07:16:00
LN10091,CUST2987,136388.86,Home,Pending,2024-08-17 23:30:32
LN10092,CUST4660,346655.55,Personal,Rejected,2024-12-28 12:44:19
LN10093,CUST3540,468706.15,Home,Rejected,2023-10-23 04:28:37
LN10094,CUST1003,187501.88,Auto,Rejected,2024-10-31 12:52:42
LN10095,CUST1519,396141.62,Personal,Pending,2023-09-06 01:07:44
LN10096,CUST5155,57542.5,Home,Approved,2025-07-07 22:12:10
LN10097,CUST3487,182107.71,Home,Rejected,2022-10-24 21:50:31
LN10098,CUST5488,341463.16,Auto,Approved,2023-01-20 09:54:55
LN10099,CUST1623,652025.37,Education,Approved,2025-01-11 08:28:36
LN10100,CUST5971,744363.13,Personal,Pending,2022-11-11 04:30:05
LN10101,CUST4149,364003.92,Personal,Rejected,2024-04-07 04:50:28
LN10102,CUST2731,761052.46,Personal,Rejected,2024-02-03 19:56:00
LN10103,CUST2189,284235.72,Education,Pending,2023-02-27 19:10:40
LN10104,CUST5445,806677.92,Personal,Approved,2023-11-02 23:32:55
LN10105,CUST2630,936668.32,Education,Pending,2024-08-02 12:50:35
LN10106,CUST2665,105331.01,Education,Rejected,2025-04-23 10:52:15
LN10107,CUST1591,722195.91,Auto,Approved,2024-08-28 00:52:48
LN10108,CUST4027,142076.78,Auto,Approved,2022-07-05 05:15:55
LN10109,CUST2900,208913.32,Home,Approved,2024-10-06 17:54:45
LN10110,CUST3949,754948.0,Personal,Approved,2024-06-14 04:14:52
LN10111,CUST5837,176501.81,Personal,Rejected,2022-10-30 05:19:52
LN10112,CUST2365,472458.24,Education,Approved,2022-02-17 17:07:36
LN10113,CUST1633,278263.47,Education,Pending,2025-04-23 05:53:28
LN10114,CUST4716,569137.42,Personal,Approved,2025-08-18 20:46:51
LN10115,CUST1557,874056.04,Auto,Approved,2022-11-29 08:25:52
LN10116,CUST2860,719039.35,Auto,Pending,2022-05-23 15:21:55
LN10117,CUST1377,379736.9,Home,Approved,2023-07-27 16:39:02
LN10118,CUST3615,150407.05,Home,Pending,2024-03-18 18:00:49
LN10119,CUST1775,918566.15,Personal,Rejected,2023-04-26 04:36:11
LN10120,CUST3715,352960.75,Auto,Approved,2025-04-14 04:17:50
LN10121,CUST4055,984825.38,Personal,Rejected,2025-04-22 13:04:56
LN10122,CUST1215,394741.59,Education,Approved,2022-07-24 23:23:50
LN10123,CUST3492,400152.01,Education,Rejected,2023-06-13 14:06:08
LN10124,CUST2063,407435.61,Education,Rejected,2023-10-02 20:10:42
LN10125,CUST2342,574457.39,Education,Rejected,2022-04-12 15:41:51
LN10126,CUST3611,517221.66,Personal,Pending,2025-09-09 13:42:50
LN10127,CUST3558,766886.74,Education,Pending,2025-09-17 13:48:00
LN10128,CUST1250,714379.71,Personal,Rejected,2023-02-09 13:15:03
LN10129,CUST3891,562765.99,Home,Approved,2022-08-19 17:43:52
LN10130,CUST2946,87910.2,Auto,Approved,2025-03-31 16:42:34
LN10131,CUST2590,610384.43,Auto,Rejected,2024-07-16 17:42:21
LN10132,CUST5968,530012.08,Home,Pending,2022-12-10 14:04:11
LN10133,CUST4036,948719.0,Education,Rejected,2024-05-09 07:20:34
LN10134,CUST5496,618573.1,Auto,Pending,2022-12-27 08:25:54
LN10135,CUST5735,918063.97,Auto,Approved,2022-06-24 08:45:57
LN10136,CUST2727,104043.9,Personal,Pending,2025-09-04 09:55:00
LN10137,CUST4446,79884.28,Home,Rejected,2022-04-23 10:01:59
LN10138,CUST4985,562512.18,Home,Pending,2023-05-04 20:30:13
LN10139,CUST3962,320907.61,Home,Pending,2024-07-15 07:40:24
LN10140,CUST5410,773655.54,Personal,Pending,2025-03-08 09:32:28
LN10141,CUST3567,950410.55,Auto,Approved,2022-10-02 05:48:07
LN10142,CUST3609,198555.93,Personal,Rejected,2023-03-09 17:09:46
LN10143,CUST2597,925802.47,Home,Approved,2024-01-06 04:04:45
LN10144,CUST2928,656448.4,Personal,Approved,2022-02-27 05:42:52
LN10145,CUST1524,704904.14,Auto,Rejected,2025-03-19 18:32:11
LN10146,CUST2320,331362.77,Personal,Pending,2025-07-17 03:21:42
LN10147,CUST1493,519138.13,Personal,Pending,2022-05-22 04:34:25
LN10148,CUST4466,803781.64,Auto,Pending,2023-05-19 18:57:15
LN10149,CUST2269,804877.07,Personal,Pending,2024-07-06 06:26:45
LN10150,CUST4123,778625.32,Home,Rejected,2024-03-28 19:01:26
LN10151,CUST1752,686599.91,Home,Rejected,2022-03-18 06:55:06
LN10152,CUST1348,443348.1,Education,Approved,2024-12-25 01:15:06
LN10153,CUST1408,391910.2,Personal,Rejected,2025-07-08 00:39:02
LN10154,CUST4356,83906.58,Education,Approved,2024-10-08 17:32:21
