repayment_id,loan_id,repayment_amount,repayment_date
RP10000,LN11216,4049.13,2022-05-08 14:01:47
RP10001,LN10937,12703.33,2024-10-26 15:23:24
RP10002,LN11717,1157.96,2024-08-11 15:10:29
RP10003,LN11744,1699.97,2025-08-27 19:43:29
RP10004,LN10834,5155.91,2022-10-17 21:40:28
RP10005,LN10025,8184.88,2022-07-23 09:44:21
RP10006,LN10333,3770.87,2022-10-17 10:23:40
RP10007,LN10899,15962.49,2023-09-09 17:23:07
RP10008,LN11931,3125.38,2024-11-14 11:09:31
RP10009,LN11097,1850.81,2024-05-13 03:38:46
RP10010,LN11512,1138.87,2024-03-13 14:59:37
RP10011,LN11290,11719.11,2022-02-11 08:39:33
RP10012,LN11539,11924.08,2024-03-18 15:45:05
RP10013,LN11396,4537.99,2023-02-13 01:01:37
RP10014,LN11918,6014.89,2024-04-16 04:43:57
RP10015,LN11008,15813.77,2023-03-04 20:26:11
RP10016,LN10892,17974.21,2022-01-02 15:56:40
RP10017,LN11203,7221.35,2025-07-09 23:24:36
RP10018,LN10206,9293.43,2023-06-12 03:23:26
RP10019,LN11515,2305.81,2023-08-13 07:13:13
RP10020,LN11859,17060.37,2022-02-05 18:11:57
RP10021,LN11208,13484.16,2023-09-07 09:50:46
RP10022,LN11711,2505.59,2024-03-18 03:23:11
RP10023,LN11786,12206.66,2023-08-22 01:31:14
RP10024,LN11017,2942.94,2023-02-11 03:34:25
RP10025,LN11424,15121.94,2025-04-18 01:21:07
RP10026,LN10034,3502.6,2022-10-05 12:55:49
RP10027,LN11372,9873.3,2022-12-28 01:27:28
RP10028,LN10677,14463.36,2023-04-26 05:45:05
RP10029,LN11648,4461.96,2024-09-07 20:48:42
RP10030,LN10706,2883.43,2024-03-04 19:03:52
RP10031,LN11675,15377.2,2025-01-25 05:23:17
RP10032,LN11978,14993.77,2024-07-21 04:51:08
RP10033,LN10933,7414.02,2024-11-18 22:42:03
RP10034,LN11418,5046.37,2025-03-04 22:31:43
RP10035,LN11763,18492.96,2025-02-01 17:05:48
RP10036,LN10557,13260.93,2022-08-18 03:59:03
RP10037,LN10321,11150.07,2025-04-22 07:18:49
RP10038,LN10558,6178.98,2023-01-09 07:35:57
RP10039,LN10417,7938.69,2022-10-31 14:07:50
RP10040,LN10570,7421.61,2025-05-07 00:34:16
RP10041,LN10580,19108.72,2025-03-06 18:28:00
RP10042,LN11245,3616.65,2023-05-07 08:20:34
RP10043,LN10786,9255.85,2024-03-16 16:55:30
RP10044,LN10876,1827.2,2025-09-22 00:47:30
RP10045,LN10019,10876.35,2023-09-05 11:27:25
RP10046,LN11793,17020.82,2023-09-04 23:54:42
RP10047,LN11851,19392.58,2024-10-24 21:28:08
RP10048,LN10286,6887.41,2023-10-11 08:22:56
RP10049,LN11585,4645.78,2023-03-21 22:39:05
RP10050,LN10293,12779.47,2023-02-08 20:06:32
RP10051,LN10753,6860.91,2022-11-03 07:30:42
RP10052,LN10912,2889.53,2022-07-09 15:27:36
RP10053,LN10351,4913.15,2023-03-17 22:24:28
RP10054,LN10536,1407.25,2022-04-27 10:56:16
RP10055,LN11984,17812.35,2024-03-04 13:13:06
RP10056,LN11423,8136.86,2022-05-27 14:43:28
RP10057,LN10467,15805.79,2024-06-14 14:55:51
RP10058,LN11026,13446.32,2023-05-20 02:35:17
RP10059,LN11014,4672.55,2025-09-07 16:42:18
RP10060,LN11136,8516.24,2025-02-11 01:44:20
RP10061,LN10076,9463.97,2024-04-30 06:11:40
RP10062,LN10302,13367.66,2024-07-21 10:38:33
RP10063,LN11459,18610.3,2023-11-04 11:11:23
RP10064,LN11941,4615.82,2023-08-25 15:52:47
RP10065,LN10923,8667.57,2025-09-11 05:20:50
RP10066,LN11784,4843.95,2024-01-29 20:03:40
RP10067,LN11310,16662.36,2023-08-07 15:02:13
RP10068,LN10134,14986.46,2023-09-17 13:36:12
RP10069,LN10673,16687.08,2024-11-21 03:21:22
RP10070,LN10872,15694.98,2023-10-14 01:19:23
RP10071,LN11053,1515.24,2023-03-12 19:03:14
RP10072,LN11688,6049.6,2022-06-27 21:56:08
RP10073,LN11602,7716.0,2022-12-24 16:00:51
RP10074,LN10994,16242.01,2023-09-29 14:06:40
RP10075,LN10449,17187.76,2024-01-02 08:37:13
RP10076,LN10858,9939.6,2024-01-31 21:29:58
RP10077,LN11986,19738.47,2025-03-16 11:31:20
RP10078,LN10603,11074.14,2022-08-05 20:12:16
RP10079,LN10181,10674.02,2023-10-10 07:14:36
RP10080,LN10074,11194.94,2024-12-24 02:01:44
RP10081,LN10056,15024.73,2024-04-08 19:27:39
RP10082,LN10196,8155.52,2022-09-01 11:06:20
RP10083,LN11808,18223.25,2025-05-15 16:11:46
RP10084,LN11050,11440.32,2024-06-02 21:17:22
RP10085,LN10584,9171.29,2022-12-07 06:12:02
RP10086,LN11976,5675.98,2024-09-22 05:44:43
RP10087,LN10608,7969.45,2025-04-25 11:17:52
RP10088,LN10066,13535.6,2022-12-18 11:20:45
RP10089,LN11563,19502.09,2024-01-30 22:30:05
RP10090,LN10147,12059.51,2025-05-04 07:30:44
RP10091,LN10999,11196.95,2022-07-22 14:39:05
RP10092,LN11054,6752.82,2025-04-21 17:11:49
RP10093,LN10430,18493.37,2025-03-29 06:00:52
RP10094,LN10620,12670.36,2023-02-27 02:36:14
